var,dias,trt,pl,categ,cont,prop,tree_id
B,0,0,3,3,0,0,B.0.0.3
B,0,0,3,4,0,0,B.0.0.3
B,0,0,3,5,0,0,B.0.0.3
B,0,1,1,0,12,0.387096774193548,B.1.0.1
B,0,1,1,1,0,0,B.1.0.1
B,0,1,1,2,0,0,B.1.0.1
B,0,1,1,3,0,0,B.1.0.1
B,0,1,1,4,0,0,B.1.0.1
B,0,1,1,5,0,0,B.1.0.1
B,0,1,2,0,9,0.290322580645161,B.1.0.2
B,0,1,2,1,0,0,B.1.0.2
B,0,1,2,2,0,0,B.1.0.2
B,0,1,2,3,0,0,B.1.0.2
B,0,1,2,4,0,0,B.1.0.2
B,0,1,2,5,0,0,B.1.0.2
B,0,1,3,0,10,0.32258064516129,B.1.0.3
B,0,1,3,1,0,0,B.1.0.3
B,0,1,3,2,0,0,B.1.0.3
B,0,1,3,3,0,0,B.1.0.3
B,0,1,3,4,0,0,B.1.0.3
B,0,1,3,5,0,0,B.1.0.3
B,0,2,1,0,15,0.283018867924528,B.2.0.1
B,0,2,1,1,1,0.0188679245283019,B.2.0.1
B,0,2,1,2,0,0,B.2.0.1
B,0,2,1,3,0,0,B.2.0.1
B,0,2,1,4,0,0,B.2.0.1
B,0,2,1,5,0,0,B.2.0.1
B,0,2,2,0,9,0.169811320754717,B.2.0.2
B,0,2,2,1,2,0.0377358490566038,B.2.0.2
B,0,2,2,2,0,0,B.2.0.2
B,0,2,2,3,0,0,B.2.0.2
B,0,2,2,4,0,0,B.2.0.2
B,0,2,2,5,0,0,B.2.0.2
B,0,2,3,0,25,0.471698113207547,B.2.0.3
B,0,2,3,1,1,0.0188679245283019,B.2.0.3
B,0,2,3,2,0,0,B.2.0.3
B,0,2,3,3,0,0,B.2.0.3
B,0,2,3,4,0,0,B.2.0.3
B,0,2,3,5,0,0,B.2.0.3
B,0,3,1,0,6,0.142857142857143,B.3.0.1
B,0,3,1,1,5,0.119047619047619,B.3.0.1
B,0,3,1,2,2,0.0476190476190476,B.3.0.1
B,0,3,1,3,1,0.0238095238095238,B.3.0.1
B,0,3,1,4,0,0,B.3.0.1
B,0,3,1,5,0,0,B.3.0.1
B,0,3,2,0,14,0.333333333333333,B.3.0.2
B,0,3,2,1,1,0.0238095238095238,B.3.0.2
B,0,3,2,2,0,0,B.3.0.2
B,0,3,2,3,0,0,B.3.0.2
B,0,3,2,4,0,0,B.3.0.2
B,0,3,2,5,0,0,B.3.0.2
B,0,3,3,0,12,0.285714285714286,B.3.0.3
B,0,3,3,1,1,0.0238095238095238,B.3.0.3
B,0,3,3,2,0,0,B.3.0.3
B,0,3,3,3,0,0,B.3.0.3
B,0,3,3,4,0,0,B.3.0.3
B,0,3,3,5,0,0,B.3.0.3
B,0,4,1,0,15,0.288461538461538,B.4.0.1
B,0,4,1,1,3,0.0576923076923077,B.4.0.1
B,0,4,1,2,2,0.0384615384615385,B.4.0.1
B,0,4,1,3,0,0,B.4.0.1
B,0,4,1,4,0,0,B.4.0.1
B,0,4,1,5,0,0,B.4.0.1
B,0,4,2,0,14,0.269230769230769,B.4.0.2
B,0,4,2,1,2,0.0384615384615385,B.4.0.2
B,0,4,2,2,0,0,B.4.0.2
B,0,4,2,3,0,0,B.4.0.2
B,0,4,2,4,0,0,B.4.0.2
B,0,4,2,5,0,0,B.4.0.2
B,0,4,3,0,13,0.25,B.4.0.3
B,0,4,3,1,2,0.0384615384615385,B.4.0.3
B,0,4,3,2,1,0.0192307692307692,B.4.0.3
B,0,4,3,3,0,0,B.4.0.3
B,0,4,3,4,0,0,B.4.0.3
B,0,4,3,5,0,0,B.4.0.3
B,1,0,1,0,13,0.276595744680851,B.0.1.1
B,1,0,1,1,3,0.0638297872340426,B.0.1.1
B,1,0,1,2,0,0,B.0.1.1
B,1,0,1,3,0,0,B.0.1.1
B,1,0,1,4,0,0,B.0.1.1
B,1,0,1,5,0,0,B.0.1.1
B,1,0,2,0,8,0.170212765957447,B.0.1.2
B,1,0,2,1,2,0.0425531914893617,B.0.1.2
B,1,0,2,2,1,0.0212765957446809,B.0.1.2
B,1,0,2,3,0,0,B.0.1.2
B,1,0,2,4,0,0,B.0.1.2
B,1,0,2,5,0,0,B.0.1.2
B,1,0,3,0,5,0.106382978723404,B.0.1.3
B,1,0,3,1,7,0.148936170212766,B.0.1.3
B,1,0,3,2,6,0.127659574468085,B.0.1.3
B,1,0,3,3,2,0.0425531914893617,B.0.1.3
B,1,0,3,4,0,0,B.0.1.3
B,1,0,3,5,0,0,B.0.1.3
B,1,1,1,0,13,0.30952380952381,B.1.1.1
B,1,1,1,1,1,0.0238095238095238,B.1.1.1
B,1,1,1,2,0,0,B.1.1.1
B,1,1,1,3,0,0,B.1.1.1
B,1,1,1,4,0,0,B.1.1.1
B,1,1,1,5,0,0,B.1.1.1
B,1,1,2,0,14,0.333333333333333,B.1.1.2
B,1,1,2,1,0,0,B.1.1.2
B,1,1,2,2,0,0,B.1.1.2
B,1,1,2,3,0,0,B.1.1.2
B,1,1,2,4,0,0,B.1.1.2
B,1,1,2,5,0,0,B.1.1.2
B,1,1,3,0,14,0.333333333333333,B.1.1.3
B,1,1,3,1,0,0,B.1.1.3
B,1,1,3,2,0,0,B.1.1.3
B,1,1,3,3,0,0,B.1.1.3
B,1,1,3,4,0,0,B.1.1.3
B,1,1,3,5,0,0,B.1.1.3
B,1,2,1,0,15,0.230769230769231,B.2.1.1
B,1,2,1,1,4,0.0615384615384615,B.2.1.1
B,1,2,1,2,0,0,B.2.1.1
B,1,2,1,3,0,0,B.2.1.1
B,1,2,1,4,0,0,B.2.1.1
B,1,2,1,5,0,0,B.2.1.1
B,1,2,2,0,19,0.292307692307692,B.2.1.2
B,1,2,2,1,1,0.0153846153846154,B.2.1.2
B,1,2,2,2,0,0,B.2.1.2
B,1,2,2,3,0,0,B.2.1.2
B,1,2,2,4,0,0,B.2.1.2
B,1,2,2,5,0,0,B.2.1.2
B,1,2,3,0,21,0.323076923076923,B.2.1.3
B,1,2,3,1,2,0.0307692307692308,B.2.1.3
B,1,2,3,2,2,0.0307692307692308,B.2.1.3
B,1,2,3,3,1,0.0153846153846154,B.2.1.3
B,1,2,3,4,0,0,B.2.1.3
B,1,2,3,5,0,0,B.2.1.3
B,1,3,1,0,11,0.17741935483871,B.3.1.1
B,1,3,1,1,0,0,B.3.1.1
B,1,3,1,2,0,0,B.3.1.1
B,1,3,1,3,0,0,B.3.1.1
B,1,3,1,4,0,0,B.3.1.1
B,1,3,1,5,0,0,B.3.1.1
B,1,3,2,0,23,0.370967741935484,B.3.1.2
B,1,3,2,1,1,0.0161290322580645,B.3.1.2
B,1,3,2,2,0,0,B.3.1.2
B,1,3,2,3,0,0,B.3.1.2
B,1,3,2,4,0,0,B.3.1.2
B,1,3,2,5,0,0,B.3.1.2
B,1,3,3,0,25,0.403225806451613,B.3.1.3
B,1,3,3,1,2,0.032258064516129,B.3.1.3
B,1,3,3,2,0,0,B.3.1.3
B,1,3,3,3,0,0,B.3.1.3
B,1,3,3,4,0,0,B.3.1.3
B,1,3,3,5,0,0,B.3.1.3
B,1,4,1,0,10,0.24390243902439,B.4.1.1
B,1,4,1,1,0,0,B.4.1.1
B,1,4,1,2,0,0,B.4.1.1
B,1,4,1,3,0,0,B.4.1.1
B,1,4,1,4,0,0,B.4.1.1
B,1,4,1,5,0,0,B.4.1.1
B,1,4,2,0,15,0.365853658536585,B.4.1.2
B,1,4,2,1,0,0,B.4.1.2
B,1,4,2,2,0,0,B.4.1.2
B,1,4,2,3,0,0,B.4.1.2
B,1,4,2,4,0,0,B.4.1.2
B,1,4,2,5,0,0,B.4.1.2
B,1,4,3,0,15,0.365853658536585,B.4.1.3
B,1,4,3,1,1,0.024390243902439,B.4.1.3
B,1,4,3,2,0,0,B.4.1.3
B,1,4,3,3,0,0,B.4.1.3
B,1,4,3,4,0,0,B.4.1.3
B,1,4,3,5,0,0,B.4.1.3
B,3,0,1,0,14,0.274509803921569,B.0.3.1
B,3,0,1,1,1,0.0196078431372549,B.0.3.1
B,3,0,1,2,0,0,B.0.3.1
B,3,0,1,3,0,0,B.0.3.1
B,3,0,1,4,0,0,B.0.3.1
B,3,0,1,5,0,0,B.0.3.1
B,3,0,2,0,17,0.333333333333333,B.0.3.2
B,3,0,2,1,2,0.0392156862745098,B.0.3.2
B,3,0,2,2,0,0,B.0.3.2
B,3,0,2,3,0,0,B.0.3.2
B,3,0,2,4,0,0,B.0.3.2
B,3,0,2,5,0,0,B.0.3.2
B,3,0,3,0,14,0.274509803921569,B.0.3.3
B,3,0,3,1,2,0.0392156862745098,B.0.3.3
B,3,0,3,2,0,0,B.0.3.3
B,3,0,3,3,1,0.0196078431372549,B.0.3.3
B,3,0,3,4,0,0,B.0.3.3
B,3,0,3,5,0,0,B.0.3.3
B,3,1,1,0,18,0.327272727272727,B.1.3.1
B,3,1,1,1,0,0,B.1.3.1
B,3,1,1,2,0,0,B.1.3.1
B,3,1,1,3,0,0,B.1.3.1
B,3,1,1,4,0,0,B.1.3.1
B,3,1,1,5,0,0,B.1.3.1
B,3,1,2,0,16,0.290909090909091,B.1.3.2
B,3,1,2,1,0,0,B.1.3.2
B,3,1,2,2,0,0,B.1.3.2
B,3,1,2,3,0,0,B.1.3.2
B,3,1,2,4,0,0,B.1.3.2
B,3,1,2,5,0,0,B.1.3.2
B,3,1,3,0,21,0.381818181818182,B.1.3.3
B,3,1,3,1,0,0,B.1.3.3
B,3,1,3,2,0,0,B.1.3.3
B,3,1,3,3,0,0,B.1.3.3
B,3,1,3,4,0,0,B.1.3.3
B,3,1,3,5,0,0,B.1.3.3
B,3,2,1,0,19,0.283582089552239,B.2.3.1
B,3,2,1,1,0,0,B.2.3.1
B,3,2,1,2,0,0,B.2.3.1
B,3,2,1,3,0,0,B.2.3.1
B,3,2,1,4,0,0,B.2.3.1
B,3,2,1,5,0,0,B.2.3.1
B,3,2,2,0,21,0.313432835820896,B.2.3.2
